player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Will Smith (C/RW),Boston College,41,25,46,71,1.73,14,25,https://www.eliteprospects.com/player/615470/will-smith,2023-2024,ncaa,Will Smith,C/RW,FW
Cutter Gauthier (LW/C),Boston College,41,38,27,65,1.59,18,23,https://www.eliteprospects.com/player/526094/cutter-gauthier,2023-2024,ncaa,Cutter Gauthier,LW/C,FW
Macklin Celebrini (C/LW),Boston Univ.,38,32,32,64,1.68,18,25,https://www.eliteprospects.com/player/597559/macklin-celebrini,2023-2024,ncaa,Macklin Celebrini,C/LW,FW
Ryan Leonard (C),Boston College,41,31,29,60,1.46,38,36,https://www.eliteprospects.com/player/603021/ryan-leonard,2023-2024,ncaa,Ryan Leonard,C,FW
Jackson Blake (RW/C),Univ. of North Dakota,40,22,38,60,1.50,26,13,https://www.eliteprospects.com/player/574744/jackson-blake,2023-2024,ncaa,Jackson Blake,RW/C,FW
Gabe Perreault (RW),Boston College,36,19,41,60,1.67,29,24,https://www.eliteprospects.com/player/637625/gabe-perreault,2023-2024,ncaa,Gabe Perreault,RW,FW
Jack Devine (RW),Univ. of Denver,44,27,29,56,1.27,20,29,https://www.eliteprospects.com/player/464780/jack-devine,2023-2024,ncaa,Jack Devine,RW,FW
Gavin Brindley (RW/LW),Univ. of Michigan,40,25,28,53,1.33,28,17,https://www.eliteprospects.com/player/538006/gavin-brindley,2023-2024,ncaa,Gavin Brindley,RW/LW,FW
Rutger McGroarty (C/W),Univ. of Michigan,36,16,36,52,1.44,6,17,https://www.eliteprospects.com/player/526095/rutger-mcgroarty,2023-2024,ncaa,Rutger McGroarty,C/W,FW
Zeev Buium (D),Univ. of Denver,42,11,39,50,1.19,20,33,https://www.eliteprospects.com/player/603229/zeev-buium,2023-2024,ncaa,Zeev Buium,D,DEF
Dylan Duke (LW/C),Univ. of Michigan,41,26,23,49,1.20,30,8,https://www.eliteprospects.com/player/512163/dylan-duke,2023-2024,ncaa,Dylan Duke,LW/C,FW
Collin Graf (RW/C),Quinnipiac Univ.,34,22,27,49,1.44,4,23,https://www.eliteprospects.com/player/201742/collin-graf,2023-2024,ncaa,Collin Graf,RW/C,FW
Lane Hutson (D),Boston Univ.,38,15,34,49,1.29,24,14,https://www.eliteprospects.com/player/526227/lane-hutson,2023-2024,ncaa,Lane Hutson,D,DEF
T.J. Hughes (F),Univ. of Michigan,41,19,29,48,1.17,27,11,https://www.eliteprospects.com/player/479673/t.j.-hughes,2023-2024,ncaa,T.J. Hughes,F,FW
Luke Grainger (RW/C),Western Michigan Univ.,38,14,34,48,1.26,21,10,https://www.eliteprospects.com/player/201540/luke-grainger,2023-2024,ncaa,Luke Grainger,RW/C,FW
Lukas Sillinger (W/C),Arizona State Univ.,38,11,37,48,1.26,10,1,https://www.eliteprospects.com/player/287466/lukas-sillinger,2023-2024,ncaa,Lukas Sillinger,W/C,FW
Liam McLinskey (RW/LW),College of the Holy Cross,39,19,28,47,1.21,32,23,https://www.eliteprospects.com/player/445714/liam-mclinskey,2023-2024,ncaa,Liam McLinskey,RW/LW,FW
Bradly Nadeau (W/C),Univ. of Maine,37,19,27,46,1.24,12,20,https://www.eliteprospects.com/player/619153/bradly-nadeau,2023-2024,ncaa,Bradly Nadeau,W/C,FW
Jacob Quillan (C/LW),Quinnipiac Univ.,39,17,29,46,1.18,16,16,https://www.eliteprospects.com/player/318454/jacob-quillan,2023-2024,ncaa,Jacob Quillan,C/LW,FW
Josh Nadeau (RW/LW),Univ. of Maine,37,18,27,45,1.22,12,14,https://www.eliteprospects.com/player/573985/josh-nadeau,2023-2024,ncaa,Josh Nadeau,RW/LW,FW
Seamus Casey (D),Univ. of Michigan,40,7,38,45,1.13,14,4,https://www.eliteprospects.com/player/526229/seamus-casey,2023-2024,ncaa,Seamus Casey,D,DEF
