playername,season,team,league,gp_regular,g_regular,a_regular,tp_regular,pim_regular,+/-_regular,post,gp_post,g_post,a_post,tp_post,pim_post,+/-_post
Scott Morrow,16-17,Shattuck St. Mary's 14U AAA,14U AAA,53,11,22,33,64,-,,,,,,,
Scott Morrow,17-18,Shattuck St. Mary's 16U AAA,16U AAA,53,12,22,34,27,-,,,,,,,
Scott Morrow,18-19,Shattuck St. Mary's 18U Prep,USHS-Prep,53,15,37,52,48,-,,,,,,,
Scott Morrow,19-20,Shattuck St. Mary's 18U Prep,USHS-Prep,46,22,45,67,44,-,,,,,,,
Scott Morrow,,Youngstown Phantoms,USHL,2,0,1,1,0,-1,,,,,,,
Scott Morrow,20-21,Shattuck St. Mary's 18U Prep,USHS-Prep,30,8,40,48,30,-,,,,,,,
Scott Morrow,,Fargo Force,USHL,0,0,0,0,0,-,Playoffs,6,0,0,0,0,-2
Scott Morrow,21-22,UMass,NCAA,37,13,20,33,10,10,,,,,,,
Scott Morrow,22-23,UMass,NCAA,35,9,22,31,16,-3,,,,,,,
Scott Morrow,23-24,UMass,NCAA,37,6,24,30,25,3,,,,,,,
Scott Morrow,,Carolina Hurricanes,NHL,2,0,0,0,0,-3,,,,,,,
Scott Morrow,24-25,Carolina Hurricanes,NHL,14,1,5,6,0,4,Playoffs,5,0,0,0,2,-5
Scott Morrow,,Chicago Wolves,AHL,52,13,26,39,47,-3,Playoffs,2,0,0,0,2,-3
Scott Morrow,25-26,New York Rangers,NHL,-,-,-,-,-,-,,,,,,,
Jack Musa,17-18,Pittsburgh Penguins Elite 14U,14U AAA,39,18,10,28,4,-,,,,,,,
Jack Musa,18-19,Trinity-Pawling School,USHS-Prep,21,5,8,13,-,-,,,,,,,
Jack Musa,19-20,Trinity-Pawling School,USHS-Prep,24,9,21,30,-,-,,,,,,,
Jack Musa,,North Jersey Avalanche 16U AAA,BEAST 16U,8,6,3,9,8,-,Playoffs,1,1,1,2,0,-
Jack Musa,,North Jersey Avalanche 16U AAA,AYHL 16U,9,12,8,20,2,-,,,,,,,
Jack Musa,20-21,North Jersey Avalanche 18U AAA,AYHL 18U,2,1,0,1,0,-,,,,,,,
Jack Musa,,Odessa Jackalopes,NAHL,34,8,9,17,15,-14,,,,,,,
Jack Musa,21-22,Madison Capitols,USHL,57,19,16,35,10,-7,Playoffs,14,7,1,8,0,1
Jack Musa,22-23,Madison Capitols,USHL,38,17,16,33,6,-17,,,,,,,
Jack Musa,,Cedar Rapids RoughRiders,USHL,25,3,7,10,4,6,Playoffs,5,3,2,5,0,2
Jack Musa,23-24,UMass,NCAA,37,12,17,29,6,9,,,,,,,
Jack Musa,24-25,UMass,NCAA,40,18,17,35,4,18,,,,,,,
Ryan Ufko,17-18,Mid Fairfield Rangers 14U AAA,14U AAA,-,-,-,-,-,-,,,,,,,
Ryan Ufko,18-19,North Jersey Avalanche 16U AAA,AYHL 16U,22,4,19,23,20,-,,,,,,,
Ryan Ufko,,North Jersey Avalanche 16U AAA,T1EHL 16U,25,2,22,24,8,-,,,,,,,
Ryan Ufko,19-20,Chicago Steel,USHL,43,2,7,9,21,17,,,,,,,
Ryan Ufko,20-21,Chicago Steel,USHL,53,10,29,39,14,13,Playoffs,8,1,6,7,4,4
Ryan Ufko,21-22,UMass,NCAA,37,5,26,31,12,4,,,,,,,
Ryan Ufko,22-23,UMass,NCAA,32,8,16,24,25,-12,,,,,,,
Ryan Ufko,,USA U20,WJC-20,7,1,9,10,2,3,,,,,,,
Ryan Ufko,23-24,"UMass""C""",NCAA,37,10,16,26,14,4,,,,,,,
Ryan Ufko,,Milwaukee Admirals,AHL,9,1,5,6,4,-2,Playoffs,15,1,9,10,6,0
Ryan Ufko,,Milwaukee Admirals,AHL,9,1,5,6,4,-2,Playoffs,10,0,3,3,6,-3
Ryan Ufko,24-25,Nashville Predators,NHL,1,0,0,0,0,0,,,,,,,
Ryan Ufko,,Milwaukee Admirals,AHL,72,8,22,30,14,4,Playoffs,15,1,9,10,6,0
Ryan Ufko,,Milwaukee Admirals,AHL,72,8,22,30,14,4,Playoffs,10,0,3,3,6,-3
Aydar Suniev,19-20,Yale Jr. Bulldogs 15U AAA,BEAST 15U,8,2,2,4,0,-,Playoffs,1,1,0,1,2,-
Aydar Suniev,,Yale Jr. Bulldogs 15U AAA,15U AAA,18,22,17,39,-,-,,,,,,,
Aydar Suniev,,The Hill Academy U16 Prep,ECEL 16U,8,2,7,9,0,-,,,,,,,
Aydar Suniev,,The Hill Academy U18 Prep,CSSHLE U18,2,3,1,4,0,-,,,,,,,
Aydar Suniev,20-21,St. Andrew's College,CISAA,0,0,0,0,0,-,,,,,,,
Aydar Suniev,,CSKA Moskva U17,Russia U17,2,0,1,1,0,-,,,,,,,
Aydar Suniev,,CSKA Moskva U18,Russia Region U18,4,1,2,3,-,-,,,,,,,
Aydar Suniev,21-22,St. Andrew's College,CAHS,11,13,10,23,2,-,,,,,,,
Aydar Suniev,,St. Andrew's College,PHC,2,1,1,2,2,-,,,,,,,
Aydar Suniev,,Thorold Blackhawks,GOJHL,3,5,3,8,4,-,,,,,,,
Aydar Suniev,,Penticton Vees,BCHL,17,9,11,20,2,-,Playoffs,10,2,2,4,4,-
Aydar Suniev,22-23,Penticton Vees,BCHL,50,45,45,90,44,-,Playoffs,15,9,14,23,16,-
Aydar Suniev,23-24,UMass,NCAA,36,12,13,25,25,1,,,,,,,
Aydar Suniev,24-25,UMass,NCAA,35,20,18,38,41,12,,,,,,,
Aydar Suniev,,Calgary Flames,NHL,1,0,0,0,0,2,,,,,,,
Aydar Suniev,25-26,Calgary Wranglers,AHL,-,-,-,-,-,-,,,,,,,
Lucas Mercuri,14-15,Lac St-Louis Arsenal Bantam AA,QBAA,3,0,0,0,0,-,,,,,,,
Lucas Mercuri,15-16,Lac St-Louis Arsenal Bantam AAA,QBAAA,33,14,21,35,43,-,,,,,,,
Lucas Mercuri,16-17,Châteauguay Grenadiers,QMAAA,38,4,11,15,24,-14,Playoffs,9,0,2,2,4,1
Lucas Mercuri,17-18,Châteauguay Grenadiers,QMAAA,40,14,27,41,40,10,Playoffs,13,6,7,13,4,-1
Lucas Mercuri,18-19,Salisbury School,USHS-Prep,30,20,25,45,-,-,,,,,,,
Lucas Mercuri,,Yale Jr. Bulldogs 16U AAA,BEAST 16U,7,4,5,9,6,-,,,,,,,
Lucas Mercuri,19-20,"Salisbury School""A""",USHS-Prep,28,20,21,41,-,-,,,,,,,
Lucas Mercuri,,Rochester Coalition 18U AAA,18U AAA,29,15,35,50,-,-,,,,,,,
Lucas Mercuri,,Rochester Selects 18U AAA,BEAST 18U,8,3,10,13,8,-,Playoffs,1,1,2,3,0,-
Lucas Mercuri,,Des Moines Buccaneers,USHL,3,0,1,1,2,-5,,,,,,,
Lucas Mercuri,20-21,Des Moines Buccaneers,USHL,45,13,23,36,69,12,,,,,,,
Lucas Mercuri,21-22,UMass,NCAA,36,6,9,15,18,1,,,,,,,
Lucas Mercuri,22-23,UMass,NCAA,35,3,11,14,33,0,,,,,,,
Lucas Mercuri,23-24,UMass,NCAA,37,9,16,25,29,1,,,,,,,
Lucas Mercuri,24-25,"UMass""A""",NCAA,40,10,21,31,24,14,,,,,,,
Lucas Mercuri,,Syracuse Crunch,AHL,6,0,0,0,2,1,,,,,,,
Lucas Mercuri,25-26,Syracuse Crunch,AHL,-,-,-,-,-,-,,,,,,,
Ryan Lautenbach,13-14,Little Caesars 13U AAA,HPHL 13U,18,8,5,13,56,-,,,,,,,
Ryan Lautenbach,14-15,Little Caesars 14U AAA,HPHL 14U,17,4,5,9,38,-,,,,,,,
Ryan Lautenbach,16-17,Compuware 16U AAA,HPHL 16U,19,2,4,6,28,-,,,,,,,
Ryan Lautenbach,17-18,Compuware 18U AAA,HPHL 18U,19,8,8,16,55,-,,,,,,,
Ryan Lautenbach,18-19,Amarillo Bulls,NAHL,57,10,18,28,45,19,Playoffs,13,1,4,5,2,1
Ryan Lautenbach,19-20,Omaha Lancers,USHL,49,9,19,28,48,7,,,,,,,
Ryan Lautenbach,20-21,Omaha Lancers,USHL,52,12,39,51,50,-2,Playoffs,2,0,0,0,2,-2
Ryan Lautenbach,21-22,UMass,NCAA,31,3,7,10,2,-5,,,,,,,
Ryan Lautenbach,22-23,UMass,NCAA,33,4,10,14,20,0,,,,,,,
Ryan Lautenbach,23-24,UMass,NCAA,37,10,14,24,29,2,,,,,,,
Ryan Lautenbach,24-25,"UMass""A""",NCAA,40,6,15,21,19,5,,,,,,,
Ryan Lautenbach,,San Diego Gulls,AHL,3,0,0,0,0,-2,,,,,,,
Kenny Connors,15-16,Philadelphia Jr. Flyers 13U AAA,T1EHL 13U,5,3,3,6,4,-,,,,,,,
Kenny Connors,16-17,Team Comcast 13U AAA,AYHL 13U,23,18,17,35,26,-,,,,,,,
Kenny Connors,17-18,Virtua Hockey 14U AAA,AYHL 14U,16,11,13,24,8,-,,,,,,,
Kenny Connors,,Malvern Prep,USHS-PA,7,7,4,11,16,-,,,,,,,
Kenny Connors,,Malvern Prep,USHS-PA,7,7,4,11,16,-,,,,,,,
Kenny Connors,18-19,Philadelphia Jr. Flyers 16U AAA,AYHL 16U,22,12,19,31,30,-,,,,,,,
Kenny Connors,,Philadelphia Jr. Flyers 16U AAA,T1EHL 16U,19,10,11,21,12,-,,,,,,,
Kenny Connors,,Malvern Prep,USHS-PA,6,2,3,5,0,-,,,,,,,
Kenny Connors,,Malvern Prep,USHS-PA,6,2,3,5,0,-,,,,,,,
Kenny Connors,19-20,Mount St. Charles Acad 16U AAA,16U AAA,51,23,38,61,-,-,,,,,,,
Kenny Connors,,Rhode Island Saints 16U AAA,BEAST 16U,7,3,1,4,4,-,Playoffs,1,1,1,2,2,-
Kenny Connors,,USNTDP Juniors,USHL,2,0,0,0,0,-3,,,,,,,
Kenny Connors,,U.S. National U17 Team,NTDP,2,0,0,0,0,-,,,,,,,
Kenny Connors,20-21,Dubuque Fighting Saints,USHL,50,3,15,18,16,-4,Playoffs,2,1,0,1,0,-1
