player_name,player_link_ep,nation,position,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
Jaromír Jágr,https://www.eliteprospects.com/player/8627/jaromir-jagr,Czechia,RW,189,115,L,,,"('1', '5', '1990')","['1-time Olympic Gold Medal', '1-time Triple Gold Club', '2-time World Championship Gold Medal', '1-time U18 EJC Silver Medal', '1-time U20 WJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time Czech Extraliga Most Valuable Player', '1-time Czech Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '7-time NHL First All-Star Team', '3-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '3-time NHL Most Assists', '5-time NHL Most Points (Art Ross Trophy)', '1-time NHL Most Valuable Player (Hart Trophy)', '1-time NHL Second All-Star Team', '1-time NHL Sportsmanship Award (Bill Masterton Trophy)', '2-time NHL Stanley Cup Champion', '1-time U20 WJC All-Star Team', '4-time World Championship All-Star Team', '1-time World Championship Best Forward', '1-time World Championship Most Valuable Player']","A true hockey legend. Very talented right winger with excellent offensive skills. He has a great stickhandling and often leads the puck single-handedly. Jagr is an excellent finisher, but also creates scoring opportunities for his teammates. He is very strong on the puck and has a good balance. One of hockey's finest on powerplay.
(Jan Jech)

Father: Jaromír Jágr, Sr."
Joe Sakic,https://www.eliteprospects.com/player/8862/joe-sakic,Canada,C,180,88,L,,,"('1', '15', '1987')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time World Cup Gold Medal', '1-time World Championship Silver Medal', '1-time CHL Player of the Year', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '3-time NHL First All-Star Team', '1-time NHL Foundation Player Award', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '1-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '1-time NHL Most Valuable Player (Hart Trophy)', '2-time NHL Stanley Cup Champion', '1-time NHL Stanley Cup MVP (Conn Smythe Trophy)', '1-time Olympic All-Star Team', '1-time Olympic Best Forward', '1-time Olympic Most Valuable Player', '1-time WHL (East) First All-Star Team', '1-time WHL (East) Second All-Star Team', '1-time WHL Most Goals', '1-time WHL Most Points (Bobby Clarke Trophy)', '2-time WHL Player of the Year (Four Broncos Trophy)', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']","Brother: Brian Sakic
Sons: Chase Sakic & Mitchell Sakic

Sakic is the Avalanche/Nordiques all-time leader in goals, assists, and points. The 12x All-Star was the captain of 2 Stanley Cup Championships with the Avalanche and holds the NHL record with 8 career playoff overtime goals."
Patrik Elias,https://www.eliteprospects.com/player/8698/patrik-elias,Czechia / USA,LW,185,86,L,,,"('2', '51', '1994')","['1-time U18 EJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time NHL All-Rookie Team', '1-time NHL First All-Star Team', '2-time NHL Stanley Cup Champion']",A forward with an excellent eye for the game and good stickhandling. A good passer and excellent skater. Elias is capable of playing any offensive position and has a good and fast wrist shot. A reliable scorer who is also secure defensively. He is useful on both powerplay and penalty kill and is able to score in important games.
Alexei Kovalev,https://www.eliteprospects.com/player/8670/alexei-kovalev,Russia,RW,187,101,L,['Dangler'],,"('1', '15', '1991')","['1-time Olympic Gold Medal', '1-time U20 WJC Gold Medal', '2-time U18 EJC Silver Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time SL Champion', '1-time U20 WJC All-Star Team', '1-time World Championship Best Forward']","Sons: Nikita Kovalev, Ivan Kovalev
Alexei Kovalev is a world class stick- and puck-handler. Can easily beat defenders in tight space with his terrific one-on-one moves in combination with his great and smooth skill-set. He is an elegant skater, but has lost a step or two over the years, although he’s still moves forward in an effective way. His wrist shot is hard and accurate and Alexei Kovalev has excellent vision and playmaking abilities. He knows exactly which games count and which not; however, critics have questioned his work ethic throughout his career."
Jason Allison,https://www.eliteprospects.com/player/9064/jason-allison,Canada,C/RW,191,98,R,,,"('1', '17', '1993')","['2-time U20 WJC Gold Medal', '1-time AHL Calder Cup Champion', '1-time CHL First All-Star Team', '1-time CHL Player of the Year', '1-time CHL Top Scorer Award', '1-time OHL First All-Star Team', '1-time OHL Most Outstanding Player (Red Tilson Trophy)', '1-time OHL Most Points (Eddie Powers Trophy)', '1-time U20 WJC All-Star Team']",Son : Colton Allison
Martin Straka,https://www.eliteprospects.com/player/8689/martin-straka,Czechia,C,176,79,L,,,"('1', '19', '1992')","['1-time Olympic Gold Medal', '1-time World Championship Gold Medal', '1-time U18 EJC Bronze Medal', '1-time U20 WJC Bronze Medal', '1-time Olympic Bronze Medal', '1-time Czech Extraliga Champion', '1-time Czech Extraliga Most Assists', '1-time Czech Extraliga Player of the Year', '1-time Czech Hockey Hall of Fame']","Straka began his NHL career with Pittsburgh Penguins in 1992 and went from mere survivor to scoring star. After netting 64 points in his first year, he went into serious decline, as he bounced around three teams in two seasons. But when he returned to Penguins in 1997, he maximized his chances and impressively rebounded into a key figure and Penguins all-star.

Though only five feet nine, Straka became a giant performer. He would excel where it counted most-scoring important goals in the playoffs. Straka was a clever and intelligent player and great leader. He had a style that was somewhat reckless, but he managed to avoid getting battered by the bigger bodies in the NHL for the most part and became one of the Penguins' most prolific players of all time. After leaving NHL in 2008, he came back to Czech republic and served six more seasons as the captain of HC Plzen, the team where he was also a franchise owner and general manager. In 2013 he celebrated the Czech title. After retiring, he quickly moved into a coaching position. figure and Penguins all-star.

Straka enjoyed success on international ice as well, winning a gold medal at the Nagano Olympic games (1998), bronze medal at the Torino Olympic games (2006) and a gold medal at the World championship in 2005."
Pavel Bure,https://www.eliteprospects.com/player/16140/pavel-bure,Russia,RW,178,85,L,"['Offensive Forward', 'Sniper', 'Speedster']",,"('6', '113', '1989')","['1-time U18 EJC Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '2-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '1-time U18 EJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL First All-Star Team', '3-time NHL Most Goals (Maurice Richard Trophy)', '1-time NHL Rookie of the Year (Calder Trophy)', '2-time NHL Second All-Star Team', '1-time Olympic Best Forward', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Forward']","Brother: Valeri Bure
Father: Vladimir Bure
Nephews: Lev Bure, Maxim Bure

The Russian Rocket was one of the fastest skaters and greatest goal scorers to ever touch the ice. Bure won gold at the World Juniors and World Championship and set the WJC tournament record with 27 goals in 21 games. He won the Calder Trophy in 1992 with 34 goals and 60 points in 65 games and followed up with 2 straight 60-goal seasons, the latter of which led the NHL. Bure helped lead the Canucks to the 1994 Cup Finals with 16 goals and 31 points in the playoffs but fell short in a 3-2 Game 7 loss. After 51 goals in 1998, he was traded to the Panthers, where he won back-to-back Maurice Richard Trophies with 58 goals in 2000 and 59 in 2001. The 6x All-Star retired in 2003 with 437 goals and 779 points in 702 games, the 5th highest goals per game rate in NHL history."
Doug Weight,https://www.eliteprospects.com/player/8733/doug-weight,USA,C,180,87,L,['Playmaker'],,"('2', '34', '1990')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time NCAA (CCHA) Champion', '1-time NCAA (West) Second All-American Team', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time NHL Stanley Cup Champion', '1-time U20 WJC Most Points', '1-time United States Hockey Hall of Fame']","Son: Danny Weight

Weight scored 278 goals and 755 assists over 20 years with the Rangers, Oilers, Blues, Hurricanes, Ducks, and Islanders. The 4x All-Star scored at least 50 points in 9 seasons and won a Stanley Cup with Carolina in 2006."
Zigmund Pálffy,https://www.eliteprospects.com/player/12627/zigmund-palffy,Slovakia,RW,179,83,L,,,"('2', '26', '1991')","['1-time World Championship Gold Medal', '1-time U20 WJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time Czechoslovakia Extraliga Champion', '1-time IIHF Hall of Fame', '1-time Olympic Most Points', '5-time Slovakian Extraliga All-Star Team', '1-time Slovakian Extraliga Champion', '1-time Slovakian Extraliga Most Assists', '1-time Slovakian Extraliga Most Goals', '4-time Slovakian Extraliga Most Points', '1-time World Championship Most Points']","Son: Denis Hudec

A very experienced winger with a good offensive game. A good skater even after losing some speed over the years. Has a sharp and precise shot that he likes to use often. Plays well with the puck and is a reliable goal and point scorer. Not a very physical player."
Peter Forsberg,https://www.eliteprospects.com/player/710/peter-forsberg,Sweden,C,185,93,L,"['Cerebral Tactician', 'Playmaker', 'Two-Way Center']",,"('1', '6', '1991')","['1-time TV-Pucken Gold Medal', '1-time J18 SM Gold Medal', '2-time J20 SM Gold Medal', '2-time World Championship Gold Medal', '2-time Olympic Gold Medal', '1-time Triple Gold Club', '2-time U20 WJC Silver Medal', '3-time World Championship Silver Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '3-time NHL First All-Star Team', '1-time NHL Most Assists', '1-time NHL Most Points (Art Ross Trophy)', '1-time NHL Most Valuable Player (Hart Trophy)', '1-time NHL Rookie of the Year (Calder Trophy)', '2-time NHL Stanley Cup Champion', '2-time SHL Best Player (Guldpucken)', '2-time SHL Most Valuable Player (Guldhjälmen)', '1-time Swedish Junior Hockey Player of the Year (Årets Junior)', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Forward', '1-time U20 WJC Most Points', '2-time World Championship All-Star Team', '1-time World Championship Best Forward', '1-time World Championship Most Points']","Arguably the greatest Swedish forward to ever play the game. Forsberg was a very good all-around player and has no weaknesses other than the fact that he was so prone to injury. He had a skillset that very few players in the world could match. Forsberg was an excellent playmaker, had fine technical skills, great on-ice vision, a strong physical game, was above average defensively and he also had a good shot, which he however could have used more often."
