playername,fw_def,link
Jaromír Jágr,FW,https://www.eliteprospects.com/player/8627/jaromir-jagr
Joe Sakic,FW,https://www.eliteprospects.com/player/8862/joe-sakic
Patrik Elias,FW,https://www.eliteprospects.com/player/8698/patrik-elias
Alexei Kovalev,FW,https://www.eliteprospects.com/player/8670/alexei-kovalev
Jason Allison,FW,https://www.eliteprospects.com/player/9064/jason-allison
Martin Straka,FW,https://www.eliteprospects.com/player/8689/martin-straka
Pavel Bure,FW,https://www.eliteprospects.com/player/16140/pavel-bure
Doug Weight,FW,https://www.eliteprospects.com/player/8733/doug-weight
Zigmund Pálffy,FW,https://www.eliteprospects.com/player/12627/zigmund-palffy
Peter Forsberg,FW,https://www.eliteprospects.com/player/710/peter-forsberg
Alexei Yashin,FW,https://www.eliteprospects.com/player/8695/alexei-yashin
Luc Robitaille,FW,https://www.eliteprospects.com/player/21334/luc-robitaille
Bill Guerin,FW,https://www.eliteprospects.com/player/9053/bill-guerin
Mike Modano,FW,https://www.eliteprospects.com/player/8965/mike-modano
Alexander Mogilny,FW,https://www.eliteprospects.com/player/21327/alexander-mogilny
Pierre Turgeon,FW,https://www.eliteprospects.com/player/8860/pierre-turgeon
Adam Oates,FW,https://www.eliteprospects.com/player/21367/adam-oates
Peter Bondra,FW,https://www.eliteprospects.com/player/8553/peter-bondra
Petr Sýkora,FW,https://www.eliteprospects.com/player/8692/petr-sykora
Robert Lang,FW,https://www.eliteprospects.com/player/8617/robert-lang
Milan Hejduk,FW,https://www.eliteprospects.com/player/8603/milan-hejduk
Brett Hull,FW,https://www.eliteprospects.com/player/21341/brett-hull
Keith Tkachuk,FW,https://www.eliteprospects.com/player/8856/keith-tkachuk
Donald Audette,FW,https://www.eliteprospects.com/player/52329/donald-audette
Brian Leetch,DEF,https://www.eliteprospects.com/player/8994/brian-leetch
Petr Nedvěd,FW,https://www.eliteprospects.com/player/8684/petr-nedved
Mark Recchi,FW,https://www.eliteprospects.com/player/8869/mark-recchi
Alex Tanguay,FW,https://www.eliteprospects.com/player/8779/alex-tanguay
Mario Lemieux,FW,https://www.eliteprospects.com/player/9679/mario-lemieux
Brendan Shanahan,FW,https://www.eliteprospects.com/player/8693/brendan-shanahan
Jeremy Roenick,FW,https://www.eliteprospects.com/player/8929/jeremy-roenick
Ray Ferraro,FW,https://www.eliteprospects.com/player/13938/ray-ferraro
Markus Näslund,FW,https://www.eliteprospects.com/player/697/markus-naslund
Steve Sullivan,FW,https://www.eliteprospects.com/player/8896/steve-sullivan
Marián Hossa,FW,https://www.eliteprospects.com/player/4720/marian-hossa
Sergei Samsonov,FW,https://www.eliteprospects.com/player/8667/sergei-samsonov
Theo Fleury,FW,https://www.eliteprospects.com/player/21306/theo-fleury
Mats Sundin,FW,https://www.eliteprospects.com/player/467/mats-sundin
Scott Young,FW,https://www.eliteprospects.com/player/8797/scott-young
Keith Primeau,FW,https://www.eliteprospects.com/player/8863/keith-primeau
Teemu Selänne,FW,https://www.eliteprospects.com/player/2683/teemu-selanne
Shawn McEachern,FW,https://www.eliteprospects.com/player/5675/shawn-mceachern
Joe Thornton,FW,https://www.eliteprospects.com/player/3670/joe-thornton
