player_name,player_pos,player_link_official,player_link_ep,player_image
Joe Sakic,C,https://www.nhl.com/player/8451101,https://www.eliteprospects.com/player/8862/joe-sakic,https://assets.nhle.com/mugs/nhl/20002001/COL/8451101.png
Peter Forsberg,C,https://www.nhl.com/player/8458520,https://www.eliteprospects.com/player/710/peter-forsberg,https://assets.nhle.com/mugs/nhl/20002001/COL/8458520.png
Milan Hejduk,RW,https://www.nhl.com/player/8460577,https://www.eliteprospects.com/player/8603/milan-hejduk,https://assets.nhle.com/mugs/nhl/20002001/COL/8460577.png
Alex Tanguay,LW,https://www.nhl.com/player/8467338,https://www.eliteprospects.com/player/8779/alex-tanguay,https://assets.nhle.com/mugs/nhl/20002001/COL/8467338.png
Chris Drury,C,https://www.nhl.com/player/8460562,https://www.eliteprospects.com/player/8804/chris-drury,https://assets.nhle.com/mugs/nhl/20002001/COL/8460562.png
Ray Bourque,D,https://www.nhl.com/player/8445621,https://www.eliteprospects.com/staff/39565/raymond-bourque,https://assets.nhle.com/mugs/nhl/20002001/COL/8445621.png
Shjon Podein,LW,https://www.nhl.com/player/8457704,https://www.eliteprospects.com/player/3644/shjon-podein,https://assets.nhle.com/mugs/nhl/20002001/COL/8457704.png
Adam Deadmarsh,RW,https://www.nhl.com/player/8459436,https://www.eliteprospects.com/player/21314/adam-deadmarsh,https://assets.nhle.com/mugs/nhl/20002001/COL/8459436.png
Martin Skoula,D,https://www.nhl.com/player/8467343,https://www.eliteprospects.com/player/8598/martin-skoula,https://assets.nhle.com/mugs/nhl/20002001/COL/8467343.png
Ville Nieminen,LW,https://www.nhl.com/player/8466210,https://www.eliteprospects.com/player/2661/ville-nieminen,https://assets.nhle.com/mugs/nhl/20002001/COL/8466210.png
Greg De Vries,D,https://www.nhl.com/player/8460254,https://www.eliteprospects.com/player/8557/greg-de-vries,https://assets.nhle.com/mugs/nhl/20002001/COL/8460254.png
Dan Hinote,RW,https://www.nhl.com/player/8465175,https://www.eliteprospects.com/player/5534/dan-hinote,https://assets.nhle.com/mugs/nhl/20002001/COL/8465175.png
Jon Klemm,D,https://www.nhl.com/player/8456852,https://www.eliteprospects.com/player/9017/jon-klemm,https://assets.nhle.com/mugs/nhl/20002001/COL/8456852.png
Adam Foote,D,https://www.nhl.com/player/8456283,https://www.eliteprospects.com/player/9157/adam-foote,https://assets.nhle.com/mugs/nhl/20002001/COL/8456283.png
Stephane Yelle,C,https://www.nhl.com/player/8459122,https://www.eliteprospects.com/player/8795/stephane-yelle,https://assets.nhle.com/mugs/nhl/20002001/COL/8459122.png
Aaron Miller,D,https://www.nhl.com/player/8457384,https://www.eliteprospects.com/player/8980/aaron-miller,https://assets.nhle.com/mugs/nhl/20002001/COL/8457384.png
Eric Messier,LW,https://www.nhl.com/player/8460012,https://www.eliteprospects.com/player/24171/eric-messier,https://assets.nhle.com/mugs/nhl/20002001/COL/8460012.png
Rob Blake,D,https://www.nhl.com/player/8445550,https://www.eliteprospects.com/player/8580/rob-blake,https://assets.nhle.com/mugs/nhl/20002001/COL/8445550.png
Dave Reid,LW,https://www.nhl.com/player/8450773,https://www.eliteprospects.com/player/67436/dave-reid,https://assets.nhle.com/mugs/nhl/20002001/COL/8450773.png
Steve Reinprecht,C,https://www.nhl.com/player/8468432,https://www.eliteprospects.com/player/8725/steven-reinprecht,https://assets.nhle.com/mugs/nhl/20002001/COL/8468432.png
Scott Parker,RW,https://www.nhl.com/player/8465016,https://www.eliteprospects.com/player/8904/scott-parker,https://assets.nhle.com/mugs/nhl/20002001/COL/8465016.png
Rick Berry,D,https://www.nhl.com/player/8466189,https://www.eliteprospects.com/player/11494/rick-berry,https://assets.nhle.com/mugs/nhl/20002001/COL/8466189.png
Nolan Pratt,D,https://www.nhl.com/player/8459538,https://www.eliteprospects.com/player/8747/nolan-pratt,https://assets.nhle.com/mugs/nhl/20002001/COL/8459538.png
Chris Dingman,LW,https://www.nhl.com/player/8460509,https://www.eliteprospects.com/player/9136/chris-dingman,https://assets.nhle.com/mugs/nhl/20002001/COL/8460509.png
Alexei Gusarov,D,https://www.nhl.com/player/8447363,https://www.eliteprospects.com/player/21401/alexei-gusarov,https://assets.nhle.com/mugs/nhl/20002001/COL/8447363.png
Rob Shearer,C,https://www.nhl.com/player/8462600,https://www.eliteprospects.com/player/11548/rob-shearer,https://assets.nhle.com/mugs/nhl/20002001/COL/8462600.png
Joel Prpic,C,https://www.nhl.com/player/8459654,https://www.eliteprospects.com/player/44608/joel-prpic,https://assets.nhle.com/mugs/nhl/20002001/COL/8459654.png
Yuri Babenko,C,https://www.nhl.com/player/8465002,https://www.eliteprospects.com/player/19121/yury-babenko,https://assets.nhle.com/mugs/nhl/20002001/COL/8465002.png
Bryan Muir,D,https://www.nhl.com/player/8463638,https://www.eliteprospects.com/player/4317/bryan-muir,https://assets.nhle.com/mugs/nhl/20002001/COL/8463638.png
Brad Larsen,LW,https://www.nhl.com/player/8462082,https://www.eliteprospects.com/player/8561/brad-larsen,https://assets.nhle.com/mugs/nhl/20002001/COL/8462082.png
Radim Vrbata,RW,https://www.nhl.com/player/8468085,https://www.eliteprospects.com/player/8626/radim-vrbata,https://assets.nhle.com/mugs/nhl/20012002/COL/8468085.png
Brian Willsie,RW,https://www.nhl.com/player/8465113,https://www.eliteprospects.com/player/8768/brian-willsie,https://assets.nhle.com/mugs/nhl/20012002/COL/8465113.png
Pascal Trepanier,D,https://www.nhl.com/player/8460087,https://www.eliteprospects.com/player/12796/pascal-trepanier,https://assets.nhle.com/mugs/nhl/20012002/COL/8460087.png
Mike Keane,RW,https://www.nhl.com/player/8448415,https://www.eliteprospects.com/player/25136/mike-keane,https://assets.nhle.com/mugs/nhl/20012002/COL/8448415.png
Riku Hahl,C,https://www.nhl.com/player/8468056,https://www.eliteprospects.com/player/2671/riku-hahl,https://assets.nhle.com/mugs/nhl/20012002/COL/8468056.png
Vaclav Nedorost,C,https://www.nhl.com/player/8468494,https://www.eliteprospects.com/player/8710/vaclav-nedorost,https://assets.nhle.com/mugs/nhl/20012002/COL/8468494.png
Todd Gill,D,https://www.nhl.com/player/8447187,https://www.eliteprospects.com/player/69416/todd-gill,https://assets.nhle.com/mugs/nhl/20012002/COL/8447187.png
Kelly Fairchild,C,https://www.nhl.com/player/8458666,https://www.eliteprospects.com/player/15424/kelly-fairchild,https://assets.nhle.com/mugs/nhl/20012002/COL/8458666.png
Jordan Krestanovich,LW,https://www.nhl.com/player/8468025,https://www.eliteprospects.com/player/6606/jordan-krestanovich,https://assets.nhle.com/mugs/nhl/20012002/COL/8468025.png
Jeff Daw,C,https://www.nhl.com/player/8464922,https://www.eliteprospects.com/player/69477/jeff-daw,https://assets.nhle.com/mugs/nhl/20012002/COL/8464922.png
