player_name,player_pos,player_link,player_image
Joe Thornton,C,https://www.nhl.com/player/8466138,https://assets.nhle.com/mugs/nhl/20022003/BOS/8466138.png
Glen Murray,RW,https://www.nhl.com/player/8458532,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458532.png
Mike Knuble,RW,https://www.nhl.com/player/8458590,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458590.png
Brian Rolston,RW,https://www.nhl.com/player/8458525,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458525.png
Jozef Stumpel,LW,https://www.nhl.com/player/8458554,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458554.png
Bryan Berard,D,https://www.nhl.com/player/8462032,https://assets.nhle.com/mugs/nhl/20022003/BOS/8462032.png
P.J. Axelsson,LW,https://www.nhl.com/player/8462209,https://assets.nhle.com/mugs/nhl/20022003/BOS/8462209.png
Nick Boynton,D,https://www.nhl.com/player/8466145,https://assets.nhle.com/mugs/nhl/20022003/BOS/8466145.png
Jonathan Girard,D,https://www.nhl.com/player/8467374,https://assets.nhle.com/mugs/nhl/20022003/BOS/8467374.png
Michal Grosek,LW,https://www.nhl.com/player/8459568,https://assets.nhle.com/mugs/nhl/20022003/BOS/8459568.png
Marty Mcinnis,LW,https://www.nhl.com/player/8457319,https://assets.nhle.com/mugs/nhl/20022003/BOS/8457319.png
Martin Lapointe,RW,https://www.nhl.com/player/8458524,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458524.png
Ivan Huml,LW,https://www.nhl.com/player/8468539,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468539.png
Hal Gill,D,https://www.nhl.com/player/8459628,https://assets.nhle.com/mugs/nhl/20022003/BOS/8459628.png
Rob Zamuner,LW,https://www.nhl.com/player/8458477,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458477.png
Sean O'Donnell,D,https://www.nhl.com/player/8458637,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458637.png
Sergei Samsonov,LW,https://www.nhl.com/player/8466035,https://assets.nhle.com/mugs/nhl/20022003/BOS/8466035.png
P.J. Stock,C,https://www.nhl.com/player/8465960,https://assets.nhle.com/mugs/nhl/20022003/BOS/8465960.png
Don Sweeney,D,https://www.nhl.com/player/8451819,https://assets.nhle.com/mugs/nhl/20022003/BOS/8451819.png
Sean Brown,D,https://www.nhl.com/player/8462051,https://assets.nhle.com/mugs/nhl/20022003/BOS/8462051.png
Lee Goren,RW,https://www.nhl.com/player/8466197,https://assets.nhle.com/mugs/nhl/20022003/BOS/8466197.png
Andy Hilbert,LW,https://www.nhl.com/player/8468517,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468517.png
Zdenek Kutlak,D,https://www.nhl.com/player/8468717,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468717.png
Kris Vernarsky,C,https://www.nhl.com/player/8468531,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468531.png
Rich Brennan,D,https://www.nhl.com/player/8458560,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458560.png
Ian Moran,D,https://www.nhl.com/player/8457421,https://assets.nhle.com/mugs/nhl/20022003/BOS/8457421.png
Martin Samuelsson,LW,https://www.nhl.com/player/8468507,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468507.png
Dan Mcgillis,D,https://www.nhl.com/player/8459174,https://assets.nhle.com/mugs/nhl/20022003/BOS/8459174.png
Brantt Myhres,RW,https://www.nhl.com/player/8459033,https://assets.nhle.com/mugs/nhl/20022003/BOS/8459033.png
Jarno Kultanen,D,https://www.nhl.com/player/8468654,https://assets.nhle.com/mugs/nhl/20022003/BOS/8468654.png
Matthew Herr,C,https://www.nhl.com/player/8460582,https://assets.nhle.com/mugs/nhl/20022003/BOS/8460582.png
Shaone Morrisonn,D,https://www.nhl.com/player/8469472,https://assets.nhle.com/mugs/nhl/20022003/BOS/8469472.png
Krzysztof Oliwa,LW,https://www.nhl.com/player/8459486,https://assets.nhle.com/mugs/nhl/20022003/BOS/8459486.png
Steve Shields,G,https://www.nhl.com/player/8458615,https://assets.nhle.com/mugs/nhl/20022003/BOS/8458615.png
John Grahame,G,https://www.nhl.com/player/8460715,https://assets.nhle.com/mugs/nhl/20022003/BOS/8460715.png
Jeff Hackett,G,https://www.nhl.com/player/8447449,https://assets.nhle.com/mugs/nhl/20022003/BOS/8447449.png
Andrew Raycroft,G,https://www.nhl.com/player/8467453,https://assets.nhle.com/mugs/nhl/20022003/BOS/8467453.png
Tim Thomas,G,https://www.nhl.com/player/8460703,https://assets.nhle.com/mugs/nhl/20022003/BOS/8460703.png
