player_name,player_pos,player_link,player_image
Jarome Iginla,RW,https://www.nhl.com/player/8462042,https://assets.nhle.com/mugs/nhl/20022003/CGY/8462042.png
Craig Conroy,C,https://www.nhl.com/player/8455919,https://assets.nhle.com/mugs/nhl/20022003/CGY/8455919.png
Chris Drury,C,https://www.nhl.com/player/8460562,https://assets.nhle.com/mugs/nhl/20022003/CGY/8460562.png
Martin Gelinas,LW,https://www.nhl.com/player/8447091,https://assets.nhle.com/mugs/nhl/20022003/CGY/8447091.png
Toni Lydman,D,https://www.nhl.com/player/8465042,https://assets.nhle.com/mugs/nhl/20022003/CGY/8465042.png
Stephane Yelle,C,https://www.nhl.com/player/8459122,https://assets.nhle.com/mugs/nhl/20022003/CGY/8459122.png
Oleg Saprykin,LW,https://www.nhl.com/player/8467884,https://assets.nhle.com/mugs/nhl/20022003/CGY/8467884.png
Chris Clark,RW,https://www.nhl.com/player/8460567,https://assets.nhle.com/mugs/nhl/20022003/CGY/8460567.png
Dave Lowry,LW,https://www.nhl.com/player/8448834,https://assets.nhle.com/mugs/nhl/20022003/CGY/8448834.png
Rob Niedermayer,C,https://www.nhl.com/player/8459427,https://assets.nhle.com/mugs/nhl/20022003/CGY/8459427.png
Bob Boughner,D,https://www.nhl.com/player/8455666,https://assets.nhle.com/mugs/nhl/20022003/CGY/8455666.png
Jordan Leopold,D,https://www.nhl.com/player/8467917,https://assets.nhle.com/mugs/nhl/20022003/CGY/8467917.png
Denis Gauthier,D,https://www.nhl.com/player/8462050,https://assets.nhle.com/mugs/nhl/20022003/CGY/8462050.png
Robyn Regehr,D,https://www.nhl.com/player/8467344,https://assets.nhle.com/mugs/nhl/20022003/CGY/8467344.png
Scott Nichol,C,https://www.nhl.com/player/8459687,https://assets.nhle.com/mugs/nhl/20022003/CGY/8459687.png
Blake Sloan,RW,https://www.nhl.com/player/8466971,https://assets.nhle.com/mugs/nhl/20022003/CGY/8466971.png
Mathias Johansson,C,https://www.nhl.com/player/8458990,https://assets.nhle.com/mugs/nhl/20022003/CGY/8458990.png
Petr Buzek,D,https://www.nhl.com/player/8462090,https://assets.nhle.com/mugs/nhl/20022003/CGY/8462090.png
Chuck Kobasew,RW,https://www.nhl.com/player/8469467,https://assets.nhle.com/mugs/nhl/20022003/CGY/8469467.png
Craig Berube,LW,https://www.nhl.com/player/8445440,https://assets.nhle.com/mugs/nhl/20022003/CGY/8445440.png
Steve Begin,LW,https://www.nhl.com/player/8464994,https://assets.nhle.com/mugs/nhl/20022003/CGY/8464994.png
Jamie Wright,LW,https://www.nhl.com/player/8460587,https://assets.nhle.com/mugs/nhl/20022003/CGY/8460587.png
Blair Betts,C,https://www.nhl.com/player/8467361,https://assets.nhle.com/mugs/nhl/20022003/CGY/8467361.png
Andrew Ference,D,https://www.nhl.com/player/8466333,https://assets.nhle.com/mugs/nhl/20022003/CGY/8466333.png
Marc Savard,C,https://www.nhl.com/player/8462118,https://assets.nhle.com/mugs/nhl/20022003/CGY/8462118.png
Shean Donovan,RW,https://www.nhl.com/player/8459450,https://assets.nhle.com/mugs/nhl/20022003/CGY/8459450.png
Micki Dupont,D,https://www.nhl.com/player/8468750,https://assets.nhle.com/mugs/nhl/20022003/CGY/8468750.png
Steve Montador,D,https://www.nhl.com/player/8468927,https://assets.nhle.com/mugs/nhl/20022003/CGY/8468927.png
Ladislav Kohn,RW,https://www.nhl.com/player/8460663,https://assets.nhle.com/mugs/nhl/20022003/CGY/8460663.png
Mike Commodore,D,https://www.nhl.com/player/8467915,https://assets.nhle.com/mugs/nhl/20022003/CGY/8467915.png
Robert Dome,LW,https://www.nhl.com/player/8462843,https://assets.nhle.com/mugs/nhl/20022003/CGY/8462843.png
Rick Mrozik,D,https://www.nhl.com/player/8459559,https://assets.nhle.com/mugs/nhl/20022003/CGY/8459559.png
Mike Mottau,D,https://www.nhl.com/player/8466309,https://assets.nhle.com/mugs/nhl/20022003/CGY/8466309.png
Roman Turek,G,https://www.nhl.com/player/8458266,https://assets.nhle.com/mugs/nhl/20022003/CGY/8458266.png
Jamie McLennan,G,https://www.nhl.com/player/8458562,https://assets.nhle.com/mugs/nhl/20022003/CGY/8458562.png
