player_name,player_pos,player_link,player_image
Eric Staal,C,https://www.nhl.com/player/8470595,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470595.png
Alexander Semin,RW,https://www.nhl.com/player/8470120,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470120.png
Jiri Tlusty,LW,https://www.nhl.com/player/8473482,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473482.png
Jordan Staal,C,https://www.nhl.com/player/8473533,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473533.png
Jeff Skinner,LW,https://www.nhl.com/player/8475784,https://assets.nhle.com/mugs/nhl/20122013/CAR/8475784.png
Joe Corvo,D,https://www.nhl.com/player/8466215,https://assets.nhle.com/mugs/nhl/20122013/CAR/8466215.png
Patrick Dwyer,RW,https://www.nhl.com/player/8470302,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470302.png
Justin Faulk,D,https://www.nhl.com/player/8475753,https://assets.nhle.com/mugs/nhl/20122013/CAR/8475753.png
Jussi Jokinen,LW,https://www.nhl.com/player/8469638,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469638.png
Jay Harrison,D,https://www.nhl.com/player/8469531,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469531.png
Tuomo Ruutu,LW,https://www.nhl.com/player/8469462,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469462.png
Riley Nash,C,https://www.nhl.com/player/8474062,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474062.png
Joni Pitkanen,D,https://www.nhl.com/player/8470137,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470137.png
Tim Gleason,D,https://www.nhl.com/player/8469476,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469476.png
Jamie McBain,D,https://www.nhl.com/player/8473571,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473571.png
Bobby Sanguinetti,D,https://www.nhl.com/player/8473610,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473610.png
Drayson Bowman,LW,https://www.nhl.com/player/8474137,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474137.png
Kevin Westgarth,RW,https://www.nhl.com/player/8473908,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473908.png
Chad LaRose,RW,https://www.nhl.com/player/8469812,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469812.png
Marc-Andre Bergeron,D,https://www.nhl.com/player/8469765,https://assets.nhle.com/mugs/nhl/20122013/CAR/8469765.png
Zac Dalpe,C,https://www.nhl.com/player/8474610,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474610.png
Tim Brent,C,https://www.nhl.com/player/8470283,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470283.png
Tim Wallace,RW,https://www.nhl.com/player/8473734,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473734.png
Brett Bellemore,D,https://www.nhl.com/player/8474135,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474135.png
Chris Terry,LW,https://www.nhl.com/player/8474052,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474052.png
Jeremy Welsh,C,https://www.nhl.com/player/8476819,https://assets.nhle.com/mugs/nhl/20122013/CAR/8476819.png
Andreas Nodl,RW,https://www.nhl.com/player/8473568,https://assets.nhle.com/mugs/nhl/20122013/CAR/8473568.png
Marc-Andre Gragnani,D,https://www.nhl.com/player/8471752,https://assets.nhle.com/mugs/nhl/20122013/CAR/8471752.png
Zach Boychuk,LW,https://www.nhl.com/player/8474576,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474576.png
Jared Staal,RW,https://www.nhl.com/player/8474615,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474615.png
Brett Sutter,LW,https://www.nhl.com/player/8471840,https://assets.nhle.com/mugs/nhl/20122013/CAR/8471840.png
Ryan Murphy,D,https://www.nhl.com/player/8476465,https://assets.nhle.com/mugs/nhl/20122013/CAR/8476465.png
Michal Jordan,D,https://www.nhl.com/player/8474661,https://assets.nhle.com/mugs/nhl/20122013/CAR/8474661.png
Adam Hall,RW,https://www.nhl.com/player/8467925,https://assets.nhle.com/mugs/nhl/20122013/CAR/8467925.png
Nicolas Blanchard,LW,https://www.nhl.com/player/8471853,https://assets.nhle.com/mugs/nhl/20122013/CAR/8471853.png
Dan Ellis,G,https://www.nhl.com/player/8468540,https://assets.nhle.com/mugs/nhl/20122013/CAR/8468540.png
Justin Peters,G,https://www.nhl.com/player/8471251,https://assets.nhle.com/mugs/nhl/20122013/CAR/8471251.png
Cam Ward,G,https://www.nhl.com/player/8470320,https://assets.nhle.com/mugs/nhl/20122013/CAR/8470320.png
