player_name,player_pos,player_link,player_image
Filip Hronek,D,https://www.nhl.com/player/8479425,https://assets.nhle.com/mugs/nhl/20202021/DET/8479425.png
Dylan Larkin,C,https://www.nhl.com/player/8477946,https://assets.nhle.com/mugs/nhl/20202021/DET/8477946.png
Anthony Mantha,RW,https://www.nhl.com/player/8477511,https://assets.nhle.com/mugs/nhl/20202021/DET/8477511.png
Adam Erne,LW,https://www.nhl.com/player/8477454,https://assets.nhle.com/mugs/nhl/20202021/DET/8477454.png
Filip Zadina,RW,https://www.nhl.com/player/8480821,https://assets.nhle.com/mugs/nhl/20202021/DET/8480821.png
Robby Fabbri,C,https://www.nhl.com/player/8477952,https://assets.nhle.com/mugs/nhl/20202021/DET/8477952.png
Vladislav Namestnikov,C,https://www.nhl.com/player/8476480,https://assets.nhle.com/mugs/nhl/20202021/DET/8476480.png
Sam Gagner,C,https://www.nhl.com/player/8474040,https://assets.nhle.com/mugs/nhl/20202021/DET/8474040.png
Valtteri Filppula,C,https://www.nhl.com/player/8470047,https://assets.nhle.com/mugs/nhl/20202021/DET/8470047.png
Luke Glendening,C,https://www.nhl.com/player/8476822,https://assets.nhle.com/mugs/nhl/20202021/DET/8476822.png
Bobby Ryan,RW,https://www.nhl.com/player/8471676,https://assets.nhle.com/mugs/nhl/20202021/DET/8471676.png
Danny DeKeyser,D,https://www.nhl.com/player/8477215,https://assets.nhle.com/mugs/nhl/20202021/DET/8477215.png
Michael Rasmussen,C,https://www.nhl.com/player/8479992,https://assets.nhle.com/mugs/nhl/20202021/DET/8479992.png
Jakub Vrana,LW,https://www.nhl.com/player/8477944,https://assets.nhle.com/mugs/nhl/20202021/DET/8477944.png
Troy Stecher,D,https://www.nhl.com/player/8479442,https://assets.nhle.com/mugs/nhl/20202021/DET/8479442.png
Christian Djoos,D,https://www.nhl.com/player/8477043,https://assets.nhle.com/mugs/nhl/20202021/DET/8477043.png
Marc Staal,D,https://www.nhl.com/player/8471686,https://assets.nhle.com/mugs/nhl/20202021/DET/8471686.png
Evgeny Svechnikov,LW,https://www.nhl.com/player/8478431,https://assets.nhle.com/mugs/nhl/20202021/DET/8478431.png
Darren Helm,C,https://www.nhl.com/player/8471794,https://assets.nhle.com/mugs/nhl/20202021/DET/8471794.png
Patrik Nemeth,D,https://www.nhl.com/player/8475747,https://assets.nhle.com/mugs/nhl/20202021/DET/8475747.png
Tyler Bertuzzi,LW,https://www.nhl.com/player/8477479,https://assets.nhle.com/mugs/nhl/20202021/DET/8477479.png
Frans Nielsen,C,https://www.nhl.com/player/8470144,https://assets.nhle.com/mugs/nhl/20202021/DET/8470144.png
Jon Merrill,D,https://www.nhl.com/player/8475750,https://assets.nhle.com/mugs/nhl/20202021/DET/8475750.png
Richard Panik,RW,https://www.nhl.com/player/8475209,https://assets.nhle.com/mugs/nhl/20202021/DET/8475209.png
Givani Smith,RW,https://www.nhl.com/player/8479379,https://assets.nhle.com/mugs/nhl/20202021/DET/8479379.png
Dennis Cholowski,D,https://www.nhl.com/player/8479395,https://assets.nhle.com/mugs/nhl/20202021/DET/8479395.png
Alex Biega,D,https://www.nhl.com/player/8473415,https://assets.nhle.com/mugs/nhl/20202021/DET/8473415.png
Gustav Lindstrom,D,https://www.nhl.com/player/8480184,https://assets.nhle.com/mugs/nhl/20202021/DET/8480184.png
Mathias Brome,LW,https://www.nhl.com/player/8482240,https://assets.nhle.com/mugs/nhl/20202021/DET/8482240.png
Taro Hirose,LW,https://www.nhl.com/player/8481433,https://assets.nhle.com/mugs/nhl/20202021/DET/8481433.png
Joe Veleno,C,https://www.nhl.com/player/8480813,https://assets.nhle.com/mugs/nhl/20202021/DET/8480813.png
Thomas Greiss,G,https://www.nhl.com/player/8471306,https://assets.nhle.com/mugs/nhl/20202021/DET/8471306.png
Jonathan Bernier,G,https://www.nhl.com/player/8473541,https://assets.nhle.com/mugs/nhl/20202021/DET/8473541.png
Calvin Pickard,G,https://www.nhl.com/player/8475717,https://assets.nhle.com/mugs/nhl/20202021/DET/8475717.png
