player_name,player_pos,player_link,player_image
Mike Ribeiro,C,https://www.nhl.com/player/8467371,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467371.png
Brenden Morrow,LW,https://www.nhl.com/player/8466160,https://assets.nhle.com/mugs/nhl/20072008/DAL/8466160.png
Mike Modano,C,https://www.nhl.com/player/8449645,https://assets.nhle.com/mugs/nhl/20072008/DAL/8449645.png
Niklas Hagman,LW,https://www.nhl.com/player/8467943,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467943.png
Jere Lehtinen,RW,https://www.nhl.com/player/8459024,https://assets.nhle.com/mugs/nhl/20072008/DAL/8459024.png
Sergei Zubov,D,https://www.nhl.com/player/8458494,https://assets.nhle.com/mugs/nhl/20072008/DAL/8458494.png
Antti Miettinen,RW,https://www.nhl.com/player/8468704,https://assets.nhle.com/mugs/nhl/20072008/DAL/8468704.png
Loui Eriksson,LW,https://www.nhl.com/player/8470626,https://assets.nhle.com/mugs/nhl/20072008/DAL/8470626.png
Jussi Jokinen,LW,https://www.nhl.com/player/8469638,https://assets.nhle.com/mugs/nhl/20072008/DAL/8469638.png
Stephane Robidas,D,https://www.nhl.com/player/8462196,https://assets.nhle.com/mugs/nhl/20072008/DAL/8462196.png
Matt Niskanen,D,https://www.nhl.com/player/8471702,https://assets.nhle.com/mugs/nhl/20072008/DAL/8471702.png
Jeff Halpern,C,https://www.nhl.com/player/8467831,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467831.png
Trevor Daley,D,https://www.nhl.com/player/8470110,https://assets.nhle.com/mugs/nhl/20072008/DAL/8470110.png
Stu Barnes,C,https://www.nhl.com/player/8455521,https://assets.nhle.com/mugs/nhl/20072008/DAL/8455521.png
Steve Ott,C,https://www.nhl.com/player/8468505,https://assets.nhle.com/mugs/nhl/20072008/DAL/8468505.png
Joel Lundqvist,C,https://www.nhl.com/player/8468548,https://assets.nhle.com/mugs/nhl/20072008/DAL/8468548.png
Philippe Boucher,D,https://www.nhl.com/player/8458527,https://assets.nhle.com/mugs/nhl/20072008/DAL/8458527.png
Mattias Norstrom,D,https://www.nhl.com/player/8458984,https://assets.nhle.com/mugs/nhl/20072008/DAL/8458984.png
Brad Richards,C,https://www.nhl.com/player/8467389,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467389.png
Nicklas Grossmann,D,https://www.nhl.com/player/8471269,https://assets.nhle.com/mugs/nhl/20072008/DAL/8471269.png
Chris Conner,RW,https://www.nhl.com/player/8472368,https://assets.nhle.com/mugs/nhl/20072008/DAL/8472368.png
Brad Winchester,LW,https://www.nhl.com/player/8468515,https://assets.nhle.com/mugs/nhl/20072008/DAL/8468515.png
Krys Barch,RW,https://www.nhl.com/player/8467428,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467428.png
Toby Petersen,C,https://www.nhl.com/player/8467543,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467543.png
B.J. Crombeen,RW,https://www.nhl.com/player/8470647,https://assets.nhle.com/mugs/nhl/20072008/DAL/8470647.png
Todd Fedoruk,LW,https://www.nhl.com/player/8466292,https://assets.nhle.com/mugs/nhl/20072008/DAL/8466292.png
Mark Fistric,D,https://www.nhl.com/player/8471241,https://assets.nhle.com/mugs/nhl/20072008/DAL/8471241.png
Dan Jancevski,D,https://www.nhl.com/player/8467939,https://assets.nhle.com/mugs/nhl/20072008/DAL/8467939.png
Junior Lessard,RW,https://www.nhl.com/player/8471206,https://assets.nhle.com/mugs/nhl/20072008/DAL/8471206.png
Marty Turco,G,https://www.nhl.com/player/8460612,https://assets.nhle.com/mugs/nhl/20072008/DAL/8460612.png
Mike Smith,G,https://www.nhl.com/player/8469608,https://assets.nhle.com/mugs/nhl/20072008/DAL/8469608.png
Johan Holmqvist,G,https://www.nhl.com/player/8466303,https://assets.nhle.com/mugs/nhl/20072008/DAL/8466303.png
Tobias Stephan,G,https://www.nhl.com/player/8470266,https://assets.nhle.com/mugs/nhl/20072008/DAL/8470266.png
