player_name,player_pos,player_link,player_image
Clayton Keller,RW,https://www.nhl.com/player/8479343,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479343.png
Logan Cooley,C,https://www.nhl.com/player/8483431,https://assets.nhle.com/mugs/nhl/20242025/UTA/8483431.png
Nick Schmaltz,C,https://www.nhl.com/player/8477951,https://assets.nhle.com/mugs/nhl/20242025/UTA/8477951.png
Dylan Guenther,RW,https://www.nhl.com/player/8482699,https://assets.nhle.com/mugs/nhl/20242025/UTA/8482699.png
Mikhail Sergachev,D,https://www.nhl.com/player/8479410,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479410.png
Barrett Hayton,C,https://www.nhl.com/player/8480849,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480849.png
Kevin Stenlund,C,https://www.nhl.com/player/8478831,https://assets.nhle.com/mugs/nhl/20242025/UTA/8478831.png
Alexander Kerfoot,C,https://www.nhl.com/player/8477021,https://assets.nhle.com/mugs/nhl/20242025/UTA/8477021.png
Jack McBain,C,https://www.nhl.com/player/8480855,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480855.png
Michael Carcone,LW,https://www.nhl.com/player/8479619,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479619.png
Lawson Crouse,LW,https://www.nhl.com/player/8478474,https://assets.nhle.com/mugs/nhl/20242025/UTA/8478474.png
Olli Määttä,D,https://www.nhl.com/player/8476874,https://assets.nhle.com/mugs/nhl/20242025/UTA/8476874.png
Ian Cole,D,https://www.nhl.com/player/8474013,https://assets.nhle.com/mugs/nhl/20242025/UTA/8474013.png
John Marino,D,https://www.nhl.com/player/8478507,https://assets.nhle.com/mugs/nhl/20242025/UTA/8478507.png
Sean Durzi,D,https://www.nhl.com/player/8480434,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480434.png
Nick DeSimone,D,https://www.nhl.com/player/8480084,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480084.png
Juuso Välimäki,D,https://www.nhl.com/player/8479976,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479976.png
Kailer Yamamoto,RW,https://www.nhl.com/player/8479977,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479977.png
Maveric Lamoureux,D,https://www.nhl.com/player/8483472,https://assets.nhle.com/mugs/nhl/20242025/UTA/8483472.png
Liam O'Brien,C,https://www.nhl.com/player/8477070,https://assets.nhle.com/mugs/nhl/20242025/UTA/8477070.png
Karel Vejmelka,G,https://www.nhl.com/player/8478872,https://assets.nhle.com/mugs/nhl/20242025/UTA/8478872.png
Connor Ingram,G,https://www.nhl.com/player/8478971,https://assets.nhle.com/mugs/nhl/20242025/UTA/8478971.png
Jaxson Stauber,G,https://www.nhl.com/player/8483530,https://assets.nhle.com/mugs/nhl/20242025/UTA/8483530.png
Matt Villalta,G,https://www.nhl.com/player/8480191,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480191.png
