player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Peter Forsberg (C),Colorado Avalanche,75,29,77,106,1.41,70,52,https://www.eliteprospects.com/player/710/peter-forsberg,2002-2003,nhl,Peter Forsberg,C,FW
Markus Näslund (LW),Vancouver Canucks,82,48,56,104,1.27,52,6,https://www.eliteprospects.com/player/697/markus-naslund,2002-2003,nhl,Markus Näslund,LW,FW
Joe Thornton (C),Boston Bruins,77,36,65,101,1.31,109,12,https://www.eliteprospects.com/player/3670/joe-thornton,2002-2003,nhl,Joe Thornton,C,FW
Milan Hejduk (RW),Colorado Avalanche,82,50,48,98,1.2,32,52,https://www.eliteprospects.com/player/8603/milan-hejduk,2002-2003,nhl,Milan Hejduk,RW,FW
Todd Bertuzzi (RW/LW),Vancouver Canucks,82,46,51,97,1.18,144,2,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2002-2003,nhl,Todd Bertuzzi,RW/LW,FW
Pavol Demitra (C),St. Louis Blues,78,36,57,93,1.19,32,0,https://www.eliteprospects.com/player/8596/pavol-demitra,2002-2003,nhl,Pavol Demitra,C,FW
Glen Murray (RW),Boston Bruins,82,44,48,92,1.12,64,9,https://www.eliteprospects.com/player/8576/glen-murray,2002-2003,nhl,Glen Murray,RW,FW
Mario Lemieux (C),Pittsburgh Penguins,67,28,63,91,1.36,43,-25,https://www.eliteprospects.com/player/9679/mario-lemieux,2002-2003,nhl,Mario Lemieux,C,FW
Dany Heatley (LW/RW),Atlanta Thrashers,77,41,48,89,1.16,58,-8,https://www.eliteprospects.com/player/3664/dany-heatley,2002-2003,nhl,Dany Heatley,LW/RW,FW
Zigmund Pálffy (RW),Los Angeles Kings,76,37,48,85,1.12,47,22,https://www.eliteprospects.com/player/12627/zigmund-palffy,2002-2003,nhl,Zigmund Pálffy,RW,FW
Mike Modano (C),Dallas Stars,79,28,57,85,1.08,30,34,https://www.eliteprospects.com/player/8965/mike-modano,2002-2003,nhl,Mike Modano,C,FW
Sergei Fedorov (C),Detroit Red Wings,80,36,47,83,1.04,52,15,https://www.eliteprospects.com/player/8619/sergei-fedorov,2002-2003,nhl,Sergei Fedorov,C,FW
Paul Kariya (LW),Mighty Ducks of Anaheim,82,25,56,81,0.99,48,-3,https://www.eliteprospects.com/player/9002/paul-kariya,2002-2003,nhl,Paul Kariya,LW,FW
Marián Hossa (RW),Ottawa Senators,80,45,35,80,1,34,8,https://www.eliteprospects.com/player/4720/marian-hossa,2002-2003,nhl,Marián Hossa,RW,FW
Alexander Mogilny (RW),Toronto Maple Leafs,73,33,46,79,1.08,12,4,https://www.eliteprospects.com/player/21327/alexander-mogilny,2002-2003,nhl,Alexander Mogilny,RW,FW
Václav Prospal (LW/C),Tampa Bay Lightning,80,22,57,79,0.99,53,9,https://www.eliteprospects.com/player/8641/vaclav-prospal,2002-2003,nhl,Václav Prospal,LW/C,FW
Vincent Lecavalier (C),Tampa Bay Lightning,80,33,45,78,0.98,39,0,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2002-2003,nhl,Vincent Lecavalier,C,FW
Daniel Alfredsson (RW),Ottawa Senators,78,27,51,78,1,42,15,https://www.eliteprospects.com/player/702/daniel-alfredsson,2002-2003,nhl,Daniel Alfredsson,RW,FW
Alexei Kovalev (RW),totals,78,37,40,77,0.99,70,-9,https://www.eliteprospects.com/player/8670/alexei-kovalev,2002-2003,nhl,Alexei Kovalev,RW,FW
