player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Jack Devine (RW),Univ. of Denver,44,13,44,57,1.30,32,16,https://www.eliteprospects.com/player/464780/jack-devine,2024-2025,ncaa,Jack Devine,RW,FW
Aidan Thompson (C/LW),Univ. of Denver,44,21,34,55,1.25,26,16,https://www.eliteprospects.com/player/536536/aidan-thompson,2024-2025,ncaa,Aidan Thompson,C/LW,FW
Liam McLinskey (RW/LW),College of the Holy Cross,40,24,30,54,1.35,18,5,https://www.eliteprospects.com/player/445714/liam-mclinskey,2024-2025,ncaa,Liam McLinskey,RW/LW,FW
Aiden Fink (RW),Penn State Univ.,40,23,30,53,1.33,12,15,https://www.eliteprospects.com/player/575202/aiden-fink,2024-2025,ncaa,Aiden Fink,RW,FW
Isaac Howard (LW),Michigan State Univ.,37,26,26,52,1.41,10,19,https://www.eliteprospects.com/player/603668/isaac-howard,2024-2025,ncaa,Isaac Howard,LW,FW
Ayrton Martino (LW),Clarkson Univ.,39,25,26,51,1.31,8,11,https://www.eliteprospects.com/player/582779/ayrton-martino,2024-2025,ncaa,Ayrton Martino,LW,FW
Jimmy Snuggerud (RW),Univ. of Minnesota,40,24,27,51,1.28,29,13,https://www.eliteprospects.com/player/623832/jimmy-snuggerud,2024-2025,ncaa,Jimmy Snuggerud,RW,FW
Cole O'Hara (RW),UMass,40,22,29,51,1.28,14,21,https://www.eliteprospects.com/player/201938/cole-o-hara,2024-2025,ncaa,Cole O'Hara,RW,FW
Quinn Hutson (RW),Boston Univ.,38,23,27,50,1.32,33,17,https://www.eliteprospects.com/player/201721/quinn-hutson,2024-2025,ncaa,Quinn Hutson,RW,FW
Ryan Leonard (C),Boston College,37,30,19,49,1.32,46,30,https://www.eliteprospects.com/player/603021/ryan-leonard,2024-2025,ncaa,Ryan Leonard,C,FW
Gabe Perreault (RW),Boston College,37,16,32,48,1.30,25,28,https://www.eliteprospects.com/player/637625/gabe-perreault,2024-2025,ncaa,Gabe Perreault,RW,FW
Cole Hutson (D),Boston Univ.,39,14,34,48,1.23,64,5,https://www.eliteprospects.com/player/597819/cole-hutson,2024-2025,ncaa,Cole Hutson,D,DEF
Zeev Buium (D),Univ. of Denver,41,13,35,48,1.17,44,17,https://www.eliteprospects.com/player/603229/zeev-buium,2024-2025,ncaa,Zeev Buium,D,DEF
Joey Muldowney (RW),Univ. of Connecticut,39,29,18,47,1.21,12,27,https://www.eliteprospects.com/player/674032/joey-muldowney,2024-2025,ncaa,Joey Muldowney,RW,FW
Alex Bump (LW),Western Michigan Univ.,42,23,24,47,1.12,14,11,https://www.eliteprospects.com/player/623782/alex-bump,2024-2025,ncaa,Alex Bump,LW,FW
Liam Malmquist (F),Univ. of St. Thomas,38,20,25,45,1.18,8,18,https://www.eliteprospects.com/player/494422/liam-malmquist,2024-2025,ncaa,Liam Malmquist,F,FW
Carter King (C/LW),Univ. of Denver,44,21,22,43,0.98,16,17,https://www.eliteprospects.com/player/412951/carter-king,2024-2025,ncaa,Carter King,C/LW,FW
Jake Richard (RW/LW),Univ. of Connecticut,34,15,28,43,1.26,16,26,https://www.eliteprospects.com/player/670882/jake-richard,2024-2025,ncaa,Jake Richard,RW/LW,FW
Ethan Leyh (F),Bentley Univ.,37,17,25,42,1.14,29,11,https://www.eliteprospects.com/player/407590/ethan-leyh,2024-2025,ncaa,Ethan Leyh,F,FW
Mac Gadowsky (D),Army (U.S. Military Academy),38,16,26,42,1.11,6,5,https://www.eliteprospects.com/player/201884/mac-gadowsky,2024-2025,ncaa,Mac Gadowsky,D,DEF
Charlie Cerrato (C),Penn State Univ.,38,15,27,42,1.11,58,16,https://www.eliteprospects.com/player/535580/charlie-cerrato,2024-2025,ncaa,Charlie Cerrato,C,FW
Lucas Wahlin (RW/LW),Univ. of St. Thomas,38,17,24,41,1.08,50,15,https://www.eliteprospects.com/player/597415/lucas-wahlin,2024-2025,ncaa,Lucas Wahlin,RW/LW,FW
Jack Williams (RW/LW),Northeastern Univ.,37,16,25,41,1.11,25,6,https://www.eliteprospects.com/player/498800/jack-williams,2024-2025,ncaa,Jack Williams,RW/LW,FW
Jeremy Wilmer (LW),Quinnipiac Univ.,38,15,26,41,1.08,4,-6,https://www.eliteprospects.com/player/461967/jeremy-wilmer,2024-2025,ncaa,Jeremy Wilmer,LW,FW
Hudson Schandor (C),Univ. of Connecticut,37,10,31,41,1.11,12,21,https://www.eliteprospects.com/player/351556/hudson-schandor,2024-2025,ncaa,Hudson Schandor,C,FW
Quinn Finley (LW),Univ. of Wisconsin,37,20,20,40,1.08,31,-2,https://www.eliteprospects.com/player/630047/quinn-finley,2024-2025,ncaa,Quinn Finley,LW,FW
Cameron Lund (C/W),Northeastern Univ.,37,18,22,40,1.08,14,1,https://www.eliteprospects.com/player/603638/cameron-lund,2024-2025,ncaa,Cameron Lund,C/W,FW
Gunnarwolfe Fontaine (LW/C),Ohio State Univ.,40,17,23,40,1.00,6,6,https://www.eliteprospects.com/player/364032/gunnarwolfe-fontaine,2024-2025,ncaa,Gunnarwolfe Fontaine,LW/C,FW
Rhett Pitlick (LW/RW),Minnesota State Univ. (Mankato),39,13,27,40,1.03,14,32,https://www.eliteprospects.com/player/497477/rhett-pitlick,2024-2025,ncaa,Rhett Pitlick,LW/RW,FW
Ryan Kirwan (LW/RW),Arizona State Univ.,37,26,13,39,1.05,6,6,https://www.eliteprospects.com/player/508271/ryan-kirwan,2024-2025,ncaa,Ryan Kirwan,LW/RW,FW
Jason Ahearn (F),Niagara Univ.,36,19,20,39,1.08,23,6,https://www.eliteprospects.com/player/448378/jason-ahearn,2024-2025,ncaa,Jason Ahearn,F,FW
Connor Kurth (F),Univ. of Minnesota,40,18,21,39,0.98,10,31,https://www.eliteprospects.com/player/512110/connor-kurth,2024-2025,ncaa,Connor Kurth,F,FW
Matthew Wood (LW/C),Univ. of Minnesota,39,17,22,39,1.00,16,19,https://www.eliteprospects.com/player/603587/matthew-wood,2024-2025,ncaa,Matthew Wood,LW/C,FW
Cole Knuble (C/RW),Univ. of Notre Dame,34,12,27,39,1.15,12,6,https://www.eliteprospects.com/player/566424/cole-knuble,2024-2025,ncaa,Cole Knuble,C/RW,FW
Trevor Hoskin (RW/C),Niagara Univ.,36,12,27,39,1.08,12,7,https://www.eliteprospects.com/player/647938/trevor-hoskin,2024-2025,ncaa,Trevor Hoskin,RW/C,FW
Aydar Suniev (LW/RW),UMass,35,20,18,38,1.09,41,12,https://www.eliteprospects.com/player/620335/aydar-suniev,2024-2025,ncaa,Aydar Suniev,LW/RW,FW
Artem Shlaine (C),Arizona State Univ.,31,17,21,38,1.23,16,10,https://www.eliteprospects.com/player/498107/artem-shlaine,2024-2025,ncaa,Artem Shlaine,C,FW
Tim Washe (C/LW),Western Michigan Univ.,42,16,22,38,0.90,18,22,https://www.eliteprospects.com/player/321143/tim-washe,2024-2025,ncaa,Tim Washe,C/LW,FW
T.J. Hughes (F),Univ. of Michigan,36,15,23,38,1.06,12,5,https://www.eliteprospects.com/player/479673/t.j.-hughes,2024-2025,ncaa,T.J. Hughes,F,FW
Félix Trudeau (LW),Sacred Heart Univ.,39,15,23,38,0.97,64,1,https://www.eliteprospects.com/player/293224/felix-trudeau,2024-2025,ncaa,Félix Trudeau,LW,FW
Ryan Greene (C),Boston Univ.,40,13,25,38,0.95,18,6,https://www.eliteprospects.com/player/492228/ryan-greene,2024-2025,ncaa,Ryan Greene,C,FW
Mason Marcellus (C),Quinnipiac Univ.,38,10,28,38,1.00,28,6,https://www.eliteprospects.com/player/413828/mason-marcellus,2024-2025,ncaa,Mason Marcellus,C,FW
